internship_id,title,company,location,country,location_type,description,required_skills,preferred_skills,domain,duration_months,stipend_usd,experience_level
INT-146,Argument Mining Intern,DebateAI Research,"Paris, Île-de-France",France,Remote,"Build NLP models to identify and classify argumentative structures in text. Develop argument relationship extraction pipelines for debate and legal documents. Evaluate models on standard argumentation mining benchmarks. Contribute to research publications and internal NLP tooling.",Python|NLP|PyTorch|spaCy|Research Methods,Hugging Face Transformers|LaTeX|Git,NLP,5,2200,Intermediate
INT-147,Retail CV Intern,ShopScan Vision,"Shanghai, Shanghai",China,On-site,"Develop product recognition and shelf monitoring models for retail analytics. Annotate and manage large-scale retail product image datasets. Evaluate model accuracy across diverse retail environments. Collaborate with retail operations clients on deployment requirements.",Python|OpenCV|TensorFlow|Computer Vision|NumPy,PyTorch|Docker|SQL,Computer Vision,4,1300,Beginner
INT-148,DataOps Intern,DataFlow Reliability,"Bangalore, Karnataka",India,Hybrid,"Build observability tooling for data pipeline reliability monitoring. Develop automated data quality checks and anomaly detection for production pipelines. Maintain incident runbooks and contribute to SLA reporting. Collaborate with data engineering teams on reliability best practices.",Python|SQL|Apache Airflow|Git|Linux,dbt|Prometheus|Docker,DevOps,4,900,Beginner
INT-149,Vulnerability Management Intern,PatchOps Security,"Copenhagen, Capital Region",Denmark,On-site,"Manage the vulnerability lifecycle from discovery through remediation across enterprise systems. Develop automated scanning workflows and prioritization frameworks. Track remediation progress and report to risk management stakeholders. Contribute to security awareness and patch management documentation.",Linux|Nmap|Python|Networking|Documentation,Tenable|Qualys|Excel,Cybersecurity,3,1700,Beginner
INT-150,Fintech Product Intern,LendOps Digital,"Mumbai, Maharashtra",India,Remote,"Define and prioritize features for a digital lending platform targeting small businesses. Conduct user interviews and analyze support ticket data for product insights. Write detailed product requirements and collaborate with engineering on delivery. Track product KPIs and present monthly performance reviews.",Communication|Jira|Excel|User Research|SQL,Figma|Notion|Analytics,Product Management,3,700,Beginner
INT-151,Lakehouse Analytics Intern,DataLake Solutions,"Warsaw, Masovian",Poland,Remote,"Build analytics layers on top of a Delta Lake data lakehouse. Develop Spark SQL transformations and maintain dbt models. Monitor data freshness and pipeline health using automated dashboards. Collaborate with data scientists on curating feature datasets.",Python|Apache Spark|SQL|dbt|Git,Delta Lake|Databricks|Airflow,Data Engineering,4,900,Intermediate
INT-152,Robustness Research Intern,ReliableAI Research,"Montreal, Quebec",Canada,Remote,"Research adversarial robustness and out-of-distribution detection for deep learning models. Implement certified defenses and evaluate on standard robustness benchmarks. Contribute to internal tooling for robustness evaluation. Write technical reports and academic paper drafts.",Python|PyTorch|Deep Learning|Research Methods|Statistics,NumPy|Git|LaTeX,Research,6,2600,Advanced
INT-153,Crypto Risk Intern,BlockRisk Finance,"Zurich, Zurich",Switzerland,On-site,"Build risk models for cryptocurrency portfolio management and DeFi protocol exposure. Develop real-time risk monitoring dashboards for crypto assets. Analyze on-chain data to identify risk signals and market anomalies. Collaborate with portfolio managers on risk limit frameworks.",Python|SQL|Statistics|Pandas|Blockchain,R|Excel|NumPy,Finance Tech,4,2400,Intermediate
INT-154,Gradient-Free Optimization Intern,EvoLearn AI,"Seattle, WA",United States,Remote,"Research evolutionary computation and Bayesian optimization for ML hyperparameter search. Implement benchmark comparisons between gradient-free and gradient-based optimization. Contribute to internal AutoML tooling. Write technical documentation and blog posts on research findings.",Python|scikit-learn|PyTorch|Optimization|Git,Optuna|NumPy|Research Methods,Machine Learning,4,2300,Intermediate
INT-155,Healthcare AI Data Intern,MedData Science,Singapore,Singapore,Hybrid,"Curate and preprocess multi-modal clinical datasets for AI model development. Develop automated data quality validation pipelines for healthcare data. Collaborate with clinical informatics teams on data governance and privacy. Document dataset characteristics and model training procedures.",Python|SQL|Pandas|Healthcare Data|Git,R|Statistics|FHIR,Data Science,4,1800,Intermediate
INT-156,Blockchain Developer Intern,ChainBuild Software,"Dubai, Dubai",United Arab Emirates,Remote,"Develop and test smart contracts for a decentralized finance protocol. Build backend integrations with blockchain nodes and wallet APIs. Write security tests and contribute to smart contract audit processes. Collaborate with the blockchain research team on protocol design.",Solidity|Python|Blockchain|Git|REST API,Ethereum|Hardhat|JavaScript,Software Engineering,4,1800,Intermediate
INT-157,Web3 Frontend Intern,DAppCraft Studio,"Berlin, Germany",Germany,Remote,"Build decentralized application frontends integrating Web3 wallet connections and smart contract interactions. Develop responsive UI components using React and ethers.js. Write unit tests for Web3 interaction logic. Collaborate with smart contract developers on integration design.",JavaScript|React|HTML|CSS|Web3,TypeScript|ethers.js|Git,Web Development,3,1400,Intermediate
INT-158,Fact Verification Intern,TruthCheck NLP,"London, England",United Kingdom,Remote,"Develop automated fact-checking systems using evidence retrieval and natural language inference. Build evidence retrieval pipelines over large web document corpora. Fine-tune NLI models for claim verification tasks. Evaluate system performance on standard fact-checking benchmarks.",Python|NLP|Hugging Face Transformers|PyTorch|FAISS,spaCy|FastAPI|Git,NLP,4,2300,Intermediate
INT-159,Thermal Imaging Intern,ThermaSense Vision,"Canberra, ACT",Australia,On-site,"Develop object detection and classification models for thermal infrared imagery. Collect and annotate thermal imaging datasets for model training. Evaluate model performance across environmental conditions. Collaborate with the defense and industrial clients on deployment requirements.",Python|OpenCV|TensorFlow|Computer Vision|NumPy,PyTorch|CUDA|C++,Computer Vision,5,2200,Intermediate
INT-160,MLSecOps Intern,ModelGuard Security,"Tel Aviv, Tel Aviv District",Israel,Remote,"Research adversarial machine learning attacks and defenses for production AI systems. Develop tooling for ML model security auditing and red-teaming. Collaborate with MLOps and security teams on model deployment security standards. Write technical reports on ML security best practices.",Python|Machine Learning|Cybersecurity|PyTorch|Git,TensorFlow|Docker|REST API,Cybersecurity,4,2100,Advanced
INT-161,Personalization Product Intern,RecoApp Ventures,"New York, NY",United States,Remote,"Define personalization features for a consumer recommendation product. Analyze user engagement data to identify personalization opportunities. Collaborate with ML engineers on recommendation algorithm requirements. Write product briefs and run experiments to measure personalization impact.",SQL|Communication|Analytics|Jira|User Research,Python|Amplitude|Figma,Product Management,3,2200,Intermediate
INT-162,Data Mesh Intern,FederatedData Solutions,"Amsterdam, Netherlands",Netherlands,Remote,"Implement data mesh architecture patterns for decentralized data ownership and governance. Build data product APIs and SLAs for domain teams. Develop tooling for data product discovery and cataloging. Collaborate with data governance and platform teams on standards.",Python|SQL|REST API|Data Governance|Git,Apache Kafka|dbt|Airflow,Data Engineering,5,1700,Advanced
INT-163,Simulation Research Intern,VirtualPhysics Research,"Toronto, Ontario",Canada,Remote,"Research physics-based simulation methods for training reinforcement learning agents. Implement differentiable simulation environments for robotics tasks. Benchmark simulation approaches on standard manipulation benchmarks. Contribute to open-source simulation tooling.",Python|PyTorch|Simulation|Research Methods|Git,MuJoCo|NumPy|C++,Research,5,2500,Advanced
INT-164,Market Making Intern,FlowCapital Finance,"Hong Kong",Hong Kong,On-site,"Develop and backtest market-making strategies for equity and crypto markets. Build execution analytics and transaction cost analysis tools. Collaborate with traders on strategy implementation and performance monitoring. Maintain Python research libraries for quantitative analysis.",Python|Statistics|Pandas|Financial Modeling|SQL,C++|NumPy|Excel,Finance Tech,4,3000,Advanced
INT-165,Few-Shot Learning Intern,AdaptLearn AI,"Berlin, Germany",Germany,Remote,"Research few-shot and zero-shot generalization methods for vision and language tasks. Implement prompt engineering and in-context learning approaches for LLMs. Benchmark few-shot learners on standard evaluation suites. Contribute to internal technical reports and open-source repositories.",Python|PyTorch|Deep Learning|NLP|Git,Hugging Face Transformers|NumPy|LaTeX,Machine Learning,4,2200,Intermediate
INT-166,Public Health Data Intern,EpiData Analytics,"Geneva, Geneva",Switzerland,Remote,"Aggregate and clean public health datasets from WHO, UN, and national health ministries. Build automated data update pipelines for health indicator dashboards. Perform statistical analysis for global health reports. Collaborate with global health researchers on data visualization and interpretation.",Python|SQL|Statistics|Pandas|Data Visualization,R|Tableau|Excel,Data Science,4,1900,Beginner
INT-167,Quantum Software Intern,QuantumEdge Research,"Oxford, England",United Kingdom,On-site,"Research quantum computing algorithms for optimization and machine learning applications. Implement quantum circuits using Qiskit and PennyLane. Benchmark quantum approaches against classical baselines on small-scale problems. Write technical reports and contribute to academic paper submissions.",Python|Quantum Computing|Qiskit|Research Methods|Git,PennyLane|NumPy|LaTeX,Research,6,2700,Advanced
INT-168,Trade Surveillance Intern,WatchTrade Finance,Singapore,Singapore,On-site,"Develop surveillance algorithms to detect market manipulation and insider trading patterns. Build anomaly detection models for trading activity monitoring. Collaborate with compliance and legal teams on alert investigation workflows. Maintain surveillance system documentation and regulatory reporting.",Python|SQL|Statistics|Pandas|Financial Data,Machine Learning|Excel|R,Finance Tech,3,2100,Intermediate
INT-169,Online Learning Intern,StreamLearn AI,"Montreal, Quebec",Canada,Remote,"Research online learning and bandit algorithms for real-time recommendation and optimization. Implement contextual bandit approaches and evaluate regret performance. Benchmark online learning algorithms on simulated and real datasets. Write technical documentation and contribute to internal ML tooling.",Python|Machine Learning|Statistics|Git|Research Methods,NumPy|scikit-learn|PyTorch,Machine Learning,4,2000,Intermediate
INT-170,Geostatistics Intern,SpatialData Science,"Melbourne, Victoria",Australia,Remote,"Apply geostatistical methods for spatial interpolation and uncertainty quantification. Build geospatial data processing pipelines integrating satellite and sensor data. Develop interactive geospatial dashboards for environmental monitoring clients. Collaborate with environmental scientists on domain-specific analysis requirements.",Python|GIS|Statistics|SQL|GeoPandas,R|QGIS|Tableau,Data Science,4,1700,Intermediate
INT-171,Distributed Systems Intern,ScaleWave Engineering,"Shenzhen, Guangdong",China,On-site,"Contribute to the development of a distributed key-value store with strong consistency guarantees. Implement and test consensus protocol components using Raft. Write performance benchmarks and analyze system bottlenecks. Collaborate with the platform engineering team on distributed systems design.",Go|Distributed Systems|Linux|Git|Systems Programming,C++|Python|Docker,Software Engineering,5,1500,Advanced
INT-172,E-learning Platform Intern,LearnCraft Web,"Cape Town, Western Cape",South Africa,Remote,"Build interactive course delivery features for an online learning platform. Integrate video streaming, quiz, and progress tracking components. Optimize content loading performance for low-bandwidth users. Collaborate with instructional designers and engineers on feature development.",JavaScript|React|REST API|HTML|CSS,TypeScript|Node.js|Git,Web Development,3,700,Beginner
INT-173,Sentence Embedding Intern,EmbedCore NLP,"Stockholm, Stockholm",Sweden,Remote,"Research and develop domain-specific sentence embedding models using contrastive learning. Build evaluation benchmarks for domain-specific semantic similarity tasks. Fine-tune SentenceTransformer models on curated training pairs. Contribute to internal NLP tooling and documentation.",Python|Hugging Face Transformers|PyTorch|NLP|Git,sentence-transformers|NumPy|Docker,NLP,4,2100,Intermediate
INT-174,Medical Imaging Intern,RadiologyAI Labs,"London, England",United Kingdom,On-site,"Develop deep learning models for anomaly detection in chest X-ray and CT imaging. Build preprocessing pipelines for DICOM imaging datasets. Evaluate model performance against radiologist annotations. Collaborate with clinical radiologists and ML engineers on model validation.",Python|PyTorch|OpenCV|Medical Imaging|NumPy,DICOM|TensorFlow|scikit-learn,Computer Vision,6,2400,Advanced
INT-175,Chaos Engineering Intern,ResilienceOps Labs,"Sydney, New South Wales",Australia,Hybrid,"Design and run chaos engineering experiments to validate system resilience. Develop automated failure injection frameworks for distributed services. Analyze failure patterns and contribute to reliability improvement initiatives. Write runbooks and post-mortem documentation for the SRE team.",Linux|Python|Docker|Kubernetes|Monitoring Tools,Bash|Chaos Engineering|Git,DevOps,4,1800,Intermediate
INT-176,Zero Trust Intern,ZeroTrustNet Security,"Amsterdam, Netherlands",Netherlands,Hybrid,"Design and implement zero trust network access controls for enterprise systems. Evaluate identity and access management solutions and write implementation guides. Develop automated access review workflows. Collaborate with IT and compliance teams on zero trust adoption.",Networking|Linux|Python|Identity Management|Documentation,AWS|Azure AD|REST API,Cybersecurity,4,1800,Intermediate
INT-177,Consumer Insights Product Intern,PulseProduct Labs,"Chicago, IL",United States,On-site,"Conduct qualitative user research including interviews and diary studies. Synthesize research findings into product improvement recommendations. Collaborate with design and engineering on usability improvement initiatives. Present consumer insights at quarterly product strategy reviews.",User Research|Communication|Excel|Figma|Presentation,Jira|SQL|Notion,Product Management,3,2100,Beginner
INT-178,Metadata Pipeline Intern,MetaFlow Data,"Bangalore, Karnataka",India,Remote,"Build automated pipelines to collect and maintain metadata for a data catalog system. Develop APIs for metadata query and search across the data platform. Monitor metadata completeness and quality across data assets. Collaborate with data governance teams on metadata standards.",Python|SQL|REST API|Git|Data Governance,Apache Atlas|Airflow|Docker,Data Engineering,3,850,Beginner
INT-179,Interpretability Research Intern,OpenMind Research,"Cambridge, England",United Kingdom,Remote,"Research mechanistic interpretability of transformer models to understand internal representations. Implement activation patching and probing experiments. Write research reports and contribute to academic publication submissions. Engage in weekly interpretability reading groups and seminars.",Python|PyTorch|Deep Learning|Research Methods|Statistics,TransformerLens|NumPy|LaTeX,Research,6,2900,Advanced
INT-180,Regulatory Reporting Intern,FinReport Solutions,"Frankfurt, Hesse",Germany,On-site,"Develop automated regulatory reporting tools for banking and financial institutions. Build data validation pipelines for regulatory filings including FINREP and COREP. Collaborate with compliance and finance teams on reporting requirements. Maintain documentation and audit trails for regulatory submissions.",Python|SQL|Excel|Financial Reporting|Pandas,R|Tableau|Documentation,Finance Tech,4,1700,Intermediate
INT-181,Domain Generalization Intern,GeneralAI Research,"Toronto, Ontario",Canada,Remote,"Research domain generalization methods for robust ML model performance across distribution shifts. Implement and benchmark DG algorithms including IRM and DRO. Contribute to reproducible evaluation frameworks. Write technical reports and academic paper drafts.",Python|PyTorch|Machine Learning|Research Methods|Statistics,NumPy|Git|LaTeX,Machine Learning,5,2300,Intermediate
INT-182,NLP Benchmarking Intern,EvalNLP Research,"Paris, Île-de-France",France,Remote,"Develop and maintain benchmark datasets for evaluating NLP model capabilities. Build automated evaluation pipelines for standardized model assessment. Analyze model performance trends across benchmark revisions. Contribute to published benchmark leaderboards and technical reports.",Python|NLP|Statistics|Git|Documentation,Hugging Face Transformers|SQL|LaTeX,Research,4,2300,Intermediate
INT-183,Digital Twin Research Intern,SimCore Research,"Munich, Bavaria",Germany,Remote,"Research digital twin architectures for real-time physical system modeling. Implement simulation models and validate against sensor data. Develop APIs to expose digital twin state to external applications. Contribute to technical reports and conference paper submissions.",Python|Simulation|REST API|Git|Research Methods,MATLAB|Docker|NumPy,Research,5,2500,Intermediate
INT-184,Fraud Analytics Intern,SafePay Finance,"Mumbai, Maharashtra",India,Remote,"Build machine learning models for payment fraud detection on transaction data. Develop feature engineering pipelines for behavioral and network-based features. Evaluate model performance under class imbalance constraints. Collaborate with the fraud operations team on alert triage and feedback.",Python|SQL|Machine Learning|Pandas|scikit-learn,XGBoost|Excel|R,Finance Tech,3,900,Intermediate
INT-185,Contrastive Learning Intern,ContrastAI Research,"Seattle, WA",United States,Remote,"Research self-supervised contrastive learning approaches for vision and multimodal tasks. Implement SimCLR, MoCo, and CLIP-style training pipelines. Benchmark representation quality on downstream classification tasks. Contribute to research blog posts and internal technical reports.",Python|PyTorch|Deep Learning|Research Methods|NumPy,JAX|Git|Weights & Biases,Machine Learning,5,2700,Advanced
INT-186,Streaming Analytics Intern,RealTimeIQ Data,"Hyderabad, Telangana",India,Remote,"Build real-time analytics pipelines for IoT sensor data using Apache Flink. Develop windowed aggregation and anomaly detection jobs. Monitor pipeline performance and optimize for throughput and latency. Write technical documentation and maintain pipeline runbooks.",Python|Apache Flink|Apache Kafka|SQL|Git,Scala|Docker|Linux,Data Engineering,4,850,Intermediate
INT-187,Bias and Fairness Research Intern,FairML Research,"Toronto, Ontario",Canada,Remote,"Research algorithmic fairness methods for classification and ranking systems. Implement fairness-aware training objectives and post-processing approaches. Evaluate fairness-accuracy tradeoffs on benchmark datasets. Write technical reports and contribute to academic publication drafts.",Python|Machine Learning|Statistics|Research Methods|Git,PyTorch|scikit-learn|LaTeX,Research,6,2600,Advanced
INT-188,Private Equity Data Intern,PEInsight Finance,"London, England",United Kingdom,On-site,"Analyze private equity deal and portfolio performance data. Build valuation models and return attribution analyses. Develop automated data collection pipelines from fund administrator reports. Collaborate with investment analysts on due diligence data workflows.",Python|Excel|SQL|Financial Modeling|Pandas,R|Tableau|Bloomberg API,Finance Tech,4,2000,Intermediate
INT-189,Reward Modeling Intern,AlignAI Research,"San Francisco, CA",United States,Remote,"Research reward modeling and preference learning methods for aligning large language models. Implement RLHF pipelines and evaluate alignment quality. Contribute to internal safety evaluation benchmarks. Present research findings at weekly alignment team meetings.",Python|PyTorch|NLP|Reinforcement Learning|Research Methods,Hugging Face Transformers|Git|LaTeX,Machine Learning,5,3000,Advanced
INT-190,Network Analytics Intern,NetInsight Data Science,"Tel Aviv, Tel Aviv District",Israel,Remote,"Analyze network traffic and telemetry data to identify performance bottlenecks and anomalies. Build predictive models for network capacity planning. Develop dashboards for network operations center monitoring. Collaborate with network engineers on data collection and analysis requirements.",Python|SQL|Statistics|Network Analysis|Pandas,R|Tableau|Wireshark,Data Science,4,1600,Intermediate
INT-191,Continual Pretraining Intern,ScaleLM Research,"London, England",United Kingdom,Remote,"Research continual pretraining strategies for updating large language models with new knowledge. Implement and benchmark pretraining approaches on domain-specific corpora. Evaluate knowledge retention and forgetting in continually pretrained models. Contribute to internal research and academic publications.",Python|PyTorch|NLP|Deep Learning|Research Methods,Hugging Face Transformers|Git|LaTeX,Research,6,2900,Advanced
INT-192,Microfinance Tech Intern,InclusiveFin Tech,"Nairobi, Nairobi County",Kenya,Remote,"Build data tools and dashboards to support microfinance operations in underserved markets. Develop credit risk models using mobile and transactional data. Collaborate with field operations teams to integrate technology into lending workflows. Write documentation for data tools and train local staff.",Python|SQL|Statistics|Excel|Pandas,R|Tableau|Mobile Data,Finance Tech,3,600,Beginner
INT-193,Adaptive Learning Research Intern,MetaCurriculum AI,"Montreal, Quebec",Canada,Remote,"Research curriculum learning and adaptive training schedules for deep learning models. Implement and evaluate curriculum strategies on vision and language benchmarks. Contribute to reproducible experiment frameworks. Write technical reports and contribute to academic paper drafts.",Python|PyTorch|Deep Learning|Research Methods|Statistics,NumPy|Git|Weights & Biases,Machine Learning,5,2200,Intermediate
INT-194,Supply Chain Analytics Intern,ChainOptima Data,"Dubai, Dubai",United Arab Emirates,Hybrid,"Analyze end-to-end supply chain data to identify inefficiencies and cost reduction opportunities. Build demand forecasting and inventory optimization models. Create executive dashboards for supply chain KPI monitoring. Collaborate with operations and procurement teams on analytics delivery.",Python|SQL|Statistics|Pandas|Operations Research,R|Power BI|Excel,Data Science,4,1600,Beginner
INT-195,IoT Data Engineering Intern,SensorFlow Data,"Shenzhen, Guangdong",China,On-site,"Build data ingestion and processing pipelines for large-scale IoT sensor data. Develop time series storage and query optimization for sensor data warehouses. Monitor pipeline reliability and implement automated anomaly alerting. Collaborate with IoT hardware teams on data schema design.",Python|Apache Kafka|SQL|Time Series|Git,Apache Flink|InfluxDB|Docker,Data Engineering,5,1000,Intermediate
INT-196,Calibration Research Intern,UncertaintyAI Research,"Oxford, England",United Kingdom,Remote,"Research neural network calibration methods for reliable uncertainty estimation. Implement temperature scaling, Platt scaling, and conformal prediction approaches. Benchmark calibration methods on classification and regression tasks. Contribute to academic paper submissions and internal research reports.",Python|PyTorch|Statistics|Research Methods|Git,scikit-learn|NumPy|LaTeX,Research,5,2600,Advanced
INT-197,Green Finance Intern,EcoCapital Finance,"Stockholm, Stockholm",Sweden,Hybrid,"Develop models for green bond pricing and ESG impact assessment. Build data pipelines aggregating sustainability reporting data. Collaborate with investment analysts on climate risk scenario modeling. Write reports on sustainable finance market trends and investment opportunities.",Python|SQL|Statistics|Excel|Financial Modeling,R|Bloomberg API|Pandas,Finance Tech,4,1900,Intermediate
INT-198,Scalable ML Intern,DistributedML Labs,"San Francisco, CA",United States,Remote,"Research and implement distributed training strategies for large-scale ML models. Benchmark data parallelism and model parallelism approaches on GPU clusters. Contribute to internal ML infrastructure tooling. Write technical documentation and present findings to the engineering team.",Python|PyTorch|Distributed Systems|NumPy|Git,CUDA|Horovod|Docker,Machine Learning,4,2900,Advanced
INT-199,Spatial Data Science Intern,UrbanData Analytics,"Cape Town, Western Cape",South Africa,Remote,"Build spatial analytics pipelines for urban mobility and land use analysis. Develop predictive models for urban growth and infrastructure planning. Create interactive geospatial visualizations for city government clients. Collaborate with urban planners and GIS specialists on project delivery.",Python|GIS|SQL|Statistics|GeoPandas,QGIS|R|Tableau,Data Science,4,900,Beginner
INT-200,Streaming Platform Intern,ContentPipe Data,"Mumbai, Maharashtra",India,Remote,"Build data pipelines for a video streaming platform processing billions of events daily. Develop content recommendation feature pipelines using Apache Spark. Monitor data quality and freshness with automated SLA tracking. Collaborate with data scientists on feature engineering for recommendation models.",Python|Apache Spark|SQL|Apache Kafka|Git,dbt|Airflow|Delta Lake,Data Engineering,5,800,Intermediate
